Назва банку,Статутний капітал ,Емісійні різниці ,Незареєстровані внески до статутного капіталу,Нерозподілений прибуток (непокритий збиток),Резервні та інші фонди банку,Резерви переоцінки,Усього власного капіталу ,Усього зобов'язань та власного капіталу
МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК,110080,0,0,12096,1148,0,123324,1735410
БАНК ЗОЛОТІ ВОРОТА,131768,0,0,-35833,40367,14087,150389,1650113
"""ТК КРЕДИТ""",151829,5,0,669,17237,40,169780,1582468
МІСТО БАНК,299980,1056,0,-75566,31057,63618,320145,1580118
АВТОКРАЗБАНК,185000,1525,57000,-1716,23,12267,254100,1557037
КРЕДИТ ЄВРОПА БАНК ,252500,0,0,104948,569,-3451,354567,1555220
"""УКРАЇНСЬКИЙ ФІНАНСОВИЙ СВІТ""",143000,0,0,-9868,90236,0,223369,1389351
ПОЛТАВА - БАНК,70500,60,0,30149,81589,80021,262319,1377952
"""ГЛОБУС""",160000,0,0,61821,5556,0,227377,1374424
БАНК ЮНІСОН,123331,0,211815,272,0,-356,335061,1349669
